fetched_round_urls,listed_round_urls,mapped_event_id,never_checked_round_urls,period,published_contests,published_rounds,source,source_end_date,source_name,source_ref,source_start_date,unfetched_examples,unfetched_round_urls
,27,2026-05-soswing-convention,27,past,0,0,scoringdance,2026-05-14,SOswing Convention 2026,scoringdance:332,2026-05-14,https://scoring.dance/enUS/events/332/results/5850.html|https://scoring.dance/enUS/events/332/results/5851.html|https://scoring.dance/enUS/events/332/results/5852.html,27
3,3,2024-11-pure-bachata-winter-festival,,past,1,3,scoringdance,2024-11-15,Pure Bachata Winter Festival 2024,scoringdance:170,2024-11-15,,
,10,2021-09-midland-swing-open,10,past,0,0,scoringdance,2021-09-23,Midland Swing Open 2021,scoringdance:45,2021-09-23,https://scoring.dance/enUS/events/45/results/365.html|https://scoring.dance/enUS/events/45/results/366.html|https://scoring.dance/enUS/events/45/results/367.html,10
14,14,2026-02-trinity-swing,,past,7,14,scoringdance,2026-02-06,Trinity Swing 2026,scoringdance:362,2026-02-06,,
3,3,2025-09-extravadanza-bachata-congress,,past,1,3,scoringdance,2025-09-19,Extravadanza Bachata Congress 2025,scoringdance:282,2025-09-19,,
,6,2025-12-bachata-beyond-the-enchanted-realm-of-rhythm,6,past,0,0,scoringdance,2025-12-05,Bachata Beyond 2025 | The Enchanted Realm of Rhythm,scoringdance:302,2025-12-05,https://scoring.dance/enUS/events/302/results/4867.html|https://scoring.dance/enUS/events/302/results/4868.html|https://scoring.dance/enUS/events/302/results/4871.html,6
,22,2023-10-milan-modern-swing,22,past,0,0,scoringdance,2023-10-20,Milan Modern Swing 2023,scoringdance:95,2023-10-20,https://scoring.dance/enUS/events/95/results/1280.html|https://scoring.dance/enUS/events/95/results/1281.html|https://scoring.dance/enUS/events/95/results/1282.html,22
12,12,2026-05-beemad,,past,6,12,scoringdance,2026-05-01,BeeMAD 2026,scoringdance:372,2026-05-01,,
,21,2026-03-5280-westival,21,past,0,0,scoringdance,2026-03-26,5280 Westival 2026,scoringdance:380,2026-03-26,https://scoring.dance/enUS/events/380/results/5573.html|https://scoring.dance/enUS/events/380/results/5574.html|https://scoring.dance/enUS/events/380/results/5575.html,21
,,,,unknown,0,0,scoringdance,,WCS Magyar Kupa 2026,scoringdance:303,,,
,,,,unknown,0,0,scoringdance,,SwingVester 2023/24,scoringdance:109,,,
,3,2025-06-terra-livre-dance-festival-summer-edition,3,past,0,0,scoringdance,2025-06-12,Terra Livre Dance Festival 2025 (Summer Edition),scoringdance:219,2025-06-12,https://scoring.dance/enUS/events/219/results/3975.html|https://scoring.dance/enUS/events/219/results/3976.html|https://scoring.dance/enUS/events/219/results/3977.html,3
,29,2026-01-budafest,29,past,0,0,scoringdance,2026-01-06,Budafest 2026,scoringdance:354,2026-01-06,https://scoring.dance/enUS/events/354/results/4991.html|https://scoring.dance/enUS/events/354/results/4992.html|https://scoring.dance/enUS/events/354/results/4993.html,29
,13,2025-05-n-xt-level-swing,13,past,0,0,scoringdance,2025-05-29,N:XT LEVEL SWING 2025,scoringdance:261,2025-05-29,https://scoring.dance/enUS/events/261/results/3850.html|https://scoring.dance/enUS/events/261/results/3851.html|https://scoring.dance/enUS/events/261/results/3852.html,13
,16,2023-12-westie-gala,16,past,0,0,scoringdance,2023-12-28,Westie Gala 2023/2024,scoringdance:110,2023-12-28,https://scoring.dance/enUS/events/110/results/1455.html|https://scoring.dance/enUS/events/110/results/1456.html|https://scoring.dance/enUS/events/110/results/1452.html,16
,20,2021-10-warsaw-halloween-swing,20,past,0,0,scoringdance,2021-10-28,Warsaw Halloween Swing 2021,scoringdance:50,2021-10-28,https://scoring.dance/enUS/events/50/results/391.html|https://scoring.dance/enUS/events/50/results/392.html|https://scoring.dance/enUS/events/50/results/393.html,20
,38,2026-08-german-open,38,past,0,0,scoringdance,2026-08-05,German Open 2026,scoringdance:425,2026-08-05,https://scoring.dance/enUS/events/425/results/6327.html|https://scoring.dance/enUS/events/425/results/6328.html|https://scoring.dance/enUS/events/425/results/6329.html,38
,23,2024-08-rolling-swing,23,past,0,0,scoringdance,2024-08-29,Rolling Swing 2024,scoringdance:146,2024-08-29,https://scoring.dance/enUS/events/146/results/2276.html|https://scoring.dance/enUS/events/146/results/2277.html|https://scoring.dance/enUS/events/146/results/2278.html,23
,20,2026-06-hembsy-chill-silc-competition,20,past,0,0,scoringdance,2026-06-05,Hembsy Chill SILC Competition 2026,scoringdance:416,2026-06-05,https://scoring.dance/enUS/events/416/results/6005.html|https://scoring.dance/enUS/events/416/results/6006.html|https://scoring.dance/enUS/events/416/results/6007.html,20
,3,2026-01-big-3-festival-hamburg-salsa-jack-jill,3,past,0,0,scoringdance,2026-01-23,Big 3 Festival Hamburg 2026 (Salsa Jack & Jill),scoringdance:355,2026-01-23,https://scoring.dance/enUS/events/355/results/5115.html|https://scoring.dance/enUS/events/355/results/5116.html|https://scoring.dance/enUS/events/355/results/5117.html,3
,13,2023-03-dutch-open,13,past,0,0,scoringdance,2023-03-23,Dutch Open 2023,scoringdance:78,2023-03-23,https://scoring.dance/enUS/events/78/results/892.html|https://scoring.dance/enUS/events/78/results/893.html|https://scoring.dance/enUS/events/78/results/894.html,13
,43,2025-12-swingvester-26-wsdc,43,past,0,0,scoringdance,2025-12-31,SwingVester 2025/26 WSDC,scoringdance:349,2025-12-31,https://scoring.dance/enUS/events/349/results/4955.html|https://scoring.dance/enUS/events/349/results/4956.html|https://scoring.dance/enUS/events/349/results/5041.html,43
